InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,1/12/2010 8:26,2.55,17850,United Kingdom
536373,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,1/12/2010 9:02,2.55,17850,United Kingdom
536375,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,1/12/2010 9:32,2.55,17850,United Kingdom
536390,85123A,WHITE HANGING HEART T-LIGHT HOLDER,64,1/12/2010 10:19,2.55,17511,United Kingdom
536394,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,1/12/2010 10:39,2.55,13408,United Kingdom
536396,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,1/12/2010 10:51,2.55,17850,United Kingdom
536401,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,1/12/2010 11:21,2.95,15862,United Kingdom
536406,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,1/12/2010 11:33,2.55,17850,United Kingdom
536502,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,1/12/2010 12:36,2.95,16552,United Kingdom
536520,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,1/12/2010 12:43,2.95,14729,United Kingdom
536542,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,1/12/2010 14:11,2.95,16456,United Kingdom
536544,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,1/12/2010 14:32,5.91,,United Kingdom
536575,85123A,WHITE HANGING HEART T-LIGHT HOLDER,128,1/12/2010 16:01,2.55,13777,United Kingdom
536576,85123A,WHITE HANGING HEART T-LIGHT HOLDER,128,1/12/2010 16:11,2.55,13777,United Kingdom
536590,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,1/12/2010 16:52,2.95,13065,United Kingdom
536592,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,1/12/2010 17:06,5.91,,United Kingdom
536594,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,1/12/2010 17:22,2.95,15235,United Kingdom
536600,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2/12/2010 8:32,2.55,17850,United Kingdom
536602,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2/12/2010 8:34,2.55,17850,United Kingdom
536607,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2/12/2010 9:29,2.95,17732,United Kingdom
536609,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2/12/2010 9:41,2.55,17850,United Kingdom
536612,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2/12/2010 9:44,2.55,17850,United Kingdom
536628,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2/12/2010 10:54,2.55,17850,United Kingdom
536630,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2/12/2010 10:56,2.55,17850,United Kingdom
536685,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2/12/2010 12:23,2.55,17850,United Kingdom
536690,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2/12/2010 12:25,2.55,17850,United Kingdom
536749,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2/12/2010 13:49,2.95,17976,United Kingdom
536750,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2/12/2010 14:04,2.55,17850,United Kingdom
536752,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2/12/2010 14:06,2.55,17850,United Kingdom
536763,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2/12/2010 14:42,2.95,17685,United Kingdom
536787,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2/12/2010 15:24,2.55,17850,United Kingdom
536790,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2/12/2010 15:26,2.95,17850,United Kingdom
536795,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,2/12/2010 15:40,2.55,15640,United Kingdom
536824,85123A,WHITE HANGING HEART T-LIGHT HOLDER,160,2/12/2010 17:24,2.55,13798,United Kingdom
536833,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2/12/2010 17:48,2.95,18239,United Kingdom
536837,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2/12/2010 18:15,2.95,14395,United Kingdom
536857,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,3/12/2010 10:33,2.95,16883,United Kingdom
